img_000024.png = [tensor([0.1000], grad_fn=<SelectBackward0>), tensor([0.9965], grad_fn=<SigmoidBackward0>)]
img_000128.png = [tensor([0.1996], grad_fn=<SelectBackward0>), tensor([0.2532], grad_fn=<SigmoidBackward0>)]
img_000218.png = [tensor([0.1106], grad_fn=<SelectBackward0>), tensor([0.0005], grad_fn=<SigmoidBackward0>)]
img_000205.png = [tensor([0.0430], grad_fn=<SelectBackward0>), tensor([0.9873], grad_fn=<SigmoidBackward0>)]
img_000211.png = [tensor([0.2163], grad_fn=<SelectBackward0>), tensor([0.5306], grad_fn=<SigmoidBackward0>)]
img_000091.png = [tensor([-0.0130], grad_fn=<SelectBackward0>), tensor([0.0051], grad_fn=<SigmoidBackward0>)]
img_000053.png = [tensor([-1.0012], grad_fn=<SelectBackward0>), tensor([0.1064], grad_fn=<SigmoidBackward0>)]
img_000041.png = [tensor([-0.6487], grad_fn=<SelectBackward0>), tensor([0.7713], grad_fn=<SigmoidBackward0>)]
img_000049.png = [tensor([0.0227], grad_fn=<SelectBackward0>), tensor([0.0034], grad_fn=<SigmoidBackward0>)]
img_000142.png = [tensor([-0.1897], grad_fn=<SelectBackward0>), tensor([0.9960], grad_fn=<SigmoidBackward0>)]
img_000092.png = [tensor([-0.1002], grad_fn=<SelectBackward0>), tensor([0.0200], grad_fn=<SigmoidBackward0>)]
img_000123.png = [tensor([-0.2777], grad_fn=<SelectBackward0>), tensor([0.0445], grad_fn=<SigmoidBackward0>)]
img_000162.png = [tensor([-0.1845], grad_fn=<SelectBackward0>), tensor([0.9783], grad_fn=<SigmoidBackward0>)]
img_000106.png = [tensor([-0.0986], grad_fn=<SelectBackward0>), tensor([0.0588], grad_fn=<SigmoidBackward0>)]
img_000192.png = [tensor([0.1874], grad_fn=<SelectBackward0>), tensor([7.1619e-05], grad_fn=<SigmoidBackward0>)]
img_000048.png = [tensor([-0.5189], grad_fn=<SelectBackward0>), tensor([6.7678e-05], grad_fn=<SigmoidBackward0>)]
img_000020.png = [tensor([0.0883], grad_fn=<SelectBackward0>), tensor([0.0028], grad_fn=<SigmoidBackward0>)]
img_000061.png = [tensor([-0.3588], grad_fn=<SelectBackward0>), tensor([0.1983], grad_fn=<SigmoidBackward0>)]
img_000005.png = [tensor([-0.1815], grad_fn=<SelectBackward0>), tensor([0.0186], grad_fn=<SigmoidBackward0>)]
img_000158.png = [tensor([-0.4495], grad_fn=<SelectBackward0>), tensor([0.1953], grad_fn=<SigmoidBackward0>)]
img_000035.png = [tensor([-0.2292], grad_fn=<SelectBackward0>), tensor([0.9939], grad_fn=<SigmoidBackward0>)]
img_000174.png = [tensor([0.1375], grad_fn=<SelectBackward0>), tensor([0.0349], grad_fn=<SigmoidBackward0>)]
img_000137.png = [tensor([-0.0349], grad_fn=<SelectBackward0>), tensor([0.1297], grad_fn=<SigmoidBackward0>)]
img_000029.png = [tensor([-0.2162], grad_fn=<SelectBackward0>), tensor([0.8043], grad_fn=<SigmoidBackward0>)]
img_000235.png = [tensor([-0.3763], grad_fn=<SelectBackward0>), tensor([0.0245], grad_fn=<SigmoidBackward0>)]
img_000172.png = [tensor([-0.1099], grad_fn=<SelectBackward0>), tensor([0.4404], grad_fn=<SigmoidBackward0>)]
img_000134.png = [tensor([0.4102], grad_fn=<SelectBackward0>), tensor([0.7957], grad_fn=<SigmoidBackward0>)]
img_000224.png = [tensor([0.3153], grad_fn=<SelectBackward0>), tensor([2.1915e-10], grad_fn=<SigmoidBackward0>)]
img_000078.png = [tensor([0.0326], grad_fn=<SelectBackward0>), tensor([0.0002], grad_fn=<SigmoidBackward0>)]
img_000207.png = [tensor([-0.1770], grad_fn=<SelectBackward0>), tensor([0.0464], grad_fn=<SigmoidBackward0>)]
