img_000024.png = [tensor([0.5856], grad_fn=<SelectBackward0>), tensor([0.5386], grad_fn=<SigmoidBackward0>)]
img_000205.png = [tensor([-0.2418], grad_fn=<SelectBackward0>), tensor([0.0480], grad_fn=<SigmoidBackward0>)]
img_000211.png = [tensor([-0.1029], grad_fn=<SelectBackward0>), tensor([0.0148], grad_fn=<SigmoidBackward0>)]
img_000091.png = [tensor([-0.1815], grad_fn=<SelectBackward0>), tensor([0.9992], grad_fn=<SigmoidBackward0>)]
img_000053.png = [tensor([0.2380], grad_fn=<SelectBackward0>), tensor([0.6260], grad_fn=<SigmoidBackward0>)]
img_000041.png = [tensor([0.3748], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000049.png = [tensor([-0.2506], grad_fn=<SelectBackward0>), tensor([0.9700], grad_fn=<SigmoidBackward0>)]
img_000142.png = [tensor([-0.6472], grad_fn=<SelectBackward0>), tensor([0.0219], grad_fn=<SigmoidBackward0>)]
img_000092.png = [tensor([-0.1471], grad_fn=<SelectBackward0>), tensor([0.9958], grad_fn=<SigmoidBackward0>)]
img_000123.png = [tensor([0.1397], grad_fn=<SelectBackward0>), tensor([0.9540], grad_fn=<SigmoidBackward0>)]
img_000162.png = [tensor([-0.1813], grad_fn=<SelectBackward0>), tensor([0.0003], grad_fn=<SigmoidBackward0>)]
img_000106.png = [tensor([-0.0059], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000192.png = [tensor([0.2352], grad_fn=<SelectBackward0>), tensor([9.3172e-06], grad_fn=<SigmoidBackward0>)]
img_000048.png = [tensor([-0.0743], grad_fn=<SelectBackward0>), tensor([0.9484], grad_fn=<SigmoidBackward0>)]
img_000020.png = [tensor([0.0232], grad_fn=<SelectBackward0>), tensor([0.0012], grad_fn=<SigmoidBackward0>)]
img_000061.png = [tensor([-0.4530], grad_fn=<SelectBackward0>), tensor([0.2046], grad_fn=<SigmoidBackward0>)]
img_000005.png = [tensor([-0.2557], grad_fn=<SelectBackward0>), tensor([0.0002], grad_fn=<SigmoidBackward0>)]
img_000158.png = [tensor([-0.2227], grad_fn=<SelectBackward0>), tensor([0.6914], grad_fn=<SigmoidBackward0>)]
img_000035.png = [tensor([-0.2667], grad_fn=<SelectBackward0>), tensor([0.9879], grad_fn=<SigmoidBackward0>)]
img_000174.png = [tensor([-0.2751], grad_fn=<SelectBackward0>), tensor([0.9992], grad_fn=<SigmoidBackward0>)]
img_000137.png = [tensor([0.1558], grad_fn=<SelectBackward0>), tensor([0.8917], grad_fn=<SigmoidBackward0>)]
img_000029.png = [tensor([1.2583], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000235.png = [tensor([1.1352], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000172.png = [tensor([0.2086], grad_fn=<SelectBackward0>), tensor([0.9999], grad_fn=<SigmoidBackward0>)]
img_000134.png = [tensor([-0.1896], grad_fn=<SelectBackward0>), tensor([0.9883], grad_fn=<SigmoidBackward0>)]
img_000224.png = [tensor([0.5665], grad_fn=<SelectBackward0>), tensor([0.9700], grad_fn=<SigmoidBackward0>)]
img_000078.png = [tensor([-0.4730], grad_fn=<SelectBackward0>), tensor([0.9131], grad_fn=<SigmoidBackward0>)]
img_000207.png = [tensor([-0.2961], grad_fn=<SelectBackward0>), tensor([0.0877], grad_fn=<SigmoidBackward0>)]
